Date,Dollar,VIX,regime
2021-01-11,90.54000091552734,24.079999923706055,1
2021-01-12,90.05000305175781,23.329999923706055,1
2021-01-13,90.31999969482422,22.209999084472656,1
2021-01-14,90.23999786376953,23.25,1
2021-01-15,90.77999877929688,24.34000015258789,0
2021-01-19,90.5,23.239999771118164,0
2021-01-20,90.47000122070312,21.579999923706055,0
2021-01-21,90.12999725341797,21.31999969482422,1
2021-01-22,90.23999786376953,21.90999984741211,1
2021-01-25,90.38999938964844,23.190000534057617,1
2021-01-26,90.16999816894531,23.020000457763672,1
2021-01-27,90.6500015258789,37.209999084472656,-1
2021-01-28,90.45999908447266,30.209999084472656,0
2021-01-29,90.58000183105469,33.09000015258789,-1
2021-02-01,91.0199966430664,30.239999771118164,-1
2021-02-02,91.19999694824219,25.559999465942383,0
2021-02-03,91.12000274658203,22.90999984741211,0
2021-02-04,91.52999877929688,21.770000457763672,0
2021-02-05,91.04000091552734,20.8700008392334,0
2021-02-08,90.93000030517578,21.239999771118164,0
2021-02-09,90.44000244140625,21.6299991607666,1
2021-02-10,90.37000274658203,21.989999771118164,0
2021-02-11,90.41999816894531,21.25,0
2021-02-12,90.4800033569336,19.969999313354492,0
2021-02-16,90.51000213623047,21.459999084472656,1
2021-02-17,90.94999694824219,21.5,0
2021-02-18,90.58999633789062,22.489999771118164,0
2021-02-19,90.36000061035156,22.049999237060547,0
2021-02-22,90.01000213623047,23.450000762939453,1
2021-02-23,90.16999816894531,23.110000610351562,1
2021-02-24,90.18000030517578,21.34000015258789,0
2021-02-25,90.12999725341797,28.889999389648438,1
2021-02-26,90.93000030517578,27.950000762939453,0
2021-03-01,91.04000091552734,23.350000381469727,1
2021-03-02,90.79000091552734,24.100000381469727,1
2021-03-03,90.94999694824219,26.670000076293945,1
2021-03-04,91.62999725341797,28.56999969482422,0
2021-03-05,91.9800033569336,24.65999984741211,0
2021-03-08,92.30999755859375,25.469999313354492,0
2021-03-09,91.95999908447266,24.030000686645508,0
2021-03-10,91.79000091552734,22.559999465942383,0
2021-03-11,91.41999816894531,21.90999984741211,0
2021-03-12,91.68000030517578,20.690000534057617,0
2021-03-15,91.83000183105469,20.030000686645508,0
2021-03-16,91.87000274658203,19.790000915527344,0
2021-03-17,91.4000015258789,19.229999542236328,1
2021-03-18,91.8499984741211,21.579999923706055,0
2021-03-19,91.91999816894531,20.950000762939453,0
2021-03-22,91.80000305175781,18.8799991607666,1
2021-03-23,92.33999633789062,20.299999237060547,1
2021-03-24,92.52999877929688,21.200000762939453,0
2021-03-25,92.87999725341797,19.809999465942383,1
2021-03-26,92.7699966430664,18.860000610351562,1
2021-03-29,92.94000244140625,20.739999771118164,1
2021-03-30,93.30000305175781,19.610000610351562,1
2021-03-31,93.2300033569336,19.399999618530273,1
2021-04-01,92.93000030517578,17.329999923706055,1
2021-04-05,92.5999984741211,17.90999984741211,1
2021-04-06,92.33999633789062,18.1200008392334,1
2021-04-07,92.45999908447266,17.15999984741211,1
2021-04-08,92.05999755859375,16.950000762939453,1
2021-04-09,92.16000366210938,16.690000534057617,1
2021-04-12,92.13999938964844,16.90999984741211,1
2021-04-13,91.8499984741211,16.649999618530273,1
2021-04-14,91.69000244140625,16.989999771118164,1
2021-04-15,91.66999816894531,16.56999969482422,0
2021-04-16,91.55999755859375,16.25,1
2021-04-19,91.06999969482422,17.290000915527344,1
2021-04-20,91.23999786376953,18.68000030517578,0
2021-04-21,91.16000366210938,17.5,1
2021-04-22,91.33000183105469,18.709999084472656,1
2021-04-23,90.86000061035156,17.329999923706055,1
2021-04-26,90.80999755859375,17.639999389648438,1
2021-04-27,90.91000366210938,17.559999465942383,1
